file,genre,bpm,score_rythme,score_musicalite,commentaire,version,score_rythme_alt,score_musicalite_alt,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,zcr_mean,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms
audio_degraded/synth_208499_Analog_Synth_01_G___degraded_musicality.wav,ambient,[193.96551724],100.0,100.0,Bizarre,degraded_musicality,100.0,70.0,-505.84564,37.634197,-9.459768,-9.071123,-13.164762,-11.956304,-5.8921466,1.6792804,2.6476989,-2.313068,-6.2468123,-2.541641,2.768201,0.5259058,0.46067464,0.6200448,0.86216843,0.54140824,0.48275134,0.4978753,0.480014,0.48283485,0.4747016,0.5073433,0.58013684,0.025519875919117647,3847.750616001038,4745.665821816891,8757.49080882353,0.016491037
audio_degraded/guitar_130482_Time-Stretched_Electric_Guitar_7__degraded_musicality.wav,electronic,[156.60511364],40.0,50.0,Wtf,degraded_musicality,40.0,35.0,-298.41443,216.09863,-63.09998,-46.225967,3.9333096,-10.624166,-3.2619581,1.1504434,-1.8439015,0.23795679,-2.9842782,-4.085728,-0.9162663,0.46793282,0.45979267,0.45510218,0.37705874,0.39915797,0.37029073,0.29683366,0.41270533,0.40803853,0.3528772,0.3909206,0.41450965,0.05542639115368936,1448.7757531671666,1025.6431664818647,2281.448576997554,0.056930494
guitar/800688_Acoustic_Guitar_Oneshot_Slice_57.mp3,electronic,[119.68085106],100.0,100.0,Ok,,,,-284.57892,150.34148,-0.23219681,37.318794,-9.313491,32.14405,-0.6459634,23.620005,-3.3360004,5.7725773,-1.5020297,1.6311033,-4.5532794,0.68170285,0.41836682,0.33742118,0.26415882,0.32241854,0.40705696,0.4891583,0.561978,0.66964877,0.8086337,0.9327304,0.9180299,0.01767578125,2480.72954629747,3517.8506193009353,5159.765625,0.06722098
audio_degraded/voice_254330_Male_vocal_breathy_aahhh__degraded_musicality.wav,voice,[156.25],0.0,0.0,Ahhh,degraded_musicality,0.0,0.0,-233.51007,131.0904,-44.180904,12.910082,-37.49007,41.669945,-20.793575,8.137137,-11.412391,9.724566,-8.938337,8.562628,9.437687,0.33165735,0.37757686,0.48463997,0.57646316,0.50915354,0.4394396,0.5016199,0.7820098,0.6569122,0.38597205,0.27582595,0.27658296,0.07898495802238806,3550.654800208017,4012.1378091955603,8039.412313432836,0.07069119
audio_degraded/guitar_167414_OpenB__degraded_musicality.wav,simple_note,[120.18531977],100.0,100.0,B,degraded_musicality,100.0,70.0,-645.85815,97.855606,49.498356,13.427852,-0.4118039,-2.7991714,-1.1735991,0.18724447,-4.4200544,-12.506142,-13.630711,-5.7734613,1.3462957,0.06777815,0.03552399,0.011214228,0.04009418,0.2741879,0.13400869,0.06467958,0.18086226,0.6035592,0.9630776,0.7053195,0.3729759,0.014555595290492957,842.5855289734925,2020.7182487177315,801.9854478433099,0.012361688
drums/457380_kick_8.mp3,,[129.19921875],,,,,,,-3.9290187,132.21495,2.396312,44.632435,3.4040053,27.25592,-3.4449563,19.22054,-4.8120856,15.819336,-6.912855,13.81829,-5.1956005,0.6562001,0.5518762,0.4686499,0.47419068,0.53847057,0.567957,0.5767266,0.6660524,0.81864244,0.910857,0.84490496,0.73833364,0.008520153985507246,2744.223860933332,4204.158867226641,6820.824133831522,0.7857573
audio_degraded/sfx_322500_Explosion_14b__degraded_musicality.wav,ambient,[36.65226064],100.0,100.0,Bizarre,degraded_musicality,100.0,70.0,-441.24985,62.608006,21.362448,29.871601,24.763884,19.104654,14.74998,9.652637,11.10359,8.889815,7.5029826,6.267197,5.3947015,0.7441499,0.7454669,0.76575994,0.7765447,0.7947627,0.77086836,0.74835455,0.7387152,0.72226036,0.7066157,0.6912394,0.7106987,0.01682666843220339,1708.4452228984053,3035.0862451590197,3735.6822695974574,0.042154573
audio_degraded/ambient_327691_ambience_hydroelectric_power_station_Donau_Greifenstein__degraded_musicality.wav,,[156.25],,,,degraded_musicality,,0.0,-346.7784,242.37532,-44.241497,12.697776,12.063215,-21.974548,15.145779,-1.3422543,-7.768105,6.432383,-4.9255757,0.66208404,-0.541182,0.70555395,0.7703957,0.69611657,0.65543914,0.6912321,0.6186372,0.52526945,0.4999926,0.46059918,0.4167511,0.45431092,0.54602736,0.028008918968251476,1224.7480770475936,1429.7813552271252,2321.2325124042204,0.028576035
guitar/329705_guitar.mp3,rock,[102.27272727],80.0,80.0,Riff,,,,-468.7569,142.32742,54.38914,23.750004,10.114754,7.367614,4.9492455,8.193051,4.4244485,-2.9056942,-2.4045815,-4.2564726,-8.393367,0.41800943,0.6545837,0.7531098,0.61178446,0.38711098,0.33745942,0.34482694,0.37892503,0.36374637,0.3234204,0.29033345,0.2971009,0.02102853397050401,1308.4348326879174,2114.670185858199,2626.073883161512,0.032466993
audio_degraded/guitar_8400_Clean_G_harm__degraded_rhythm.wav,simple_note,[120.18531977],100.0,100.0,simple,degraded_rhythm,70.0,100.0,-580.83875,15.23007,6.5567636,1.8958969,-0.62452537,-1.0907484,-1.0971904,-1.4020208,-2.0593588,-2.9788659,-3.624523,-3.9857314,-3.6928446,0.31836298,0.31480372,0.36146522,0.34275368,0.32685038,0.33371586,0.5165862,0.91491485,0.6756044,0.42889783,0.36689463,0.34851176,0.22970084666746873,6559.728767941721,5319.113573988018,12145.182510978104,0.0038494605
guitar/8400_Clean_G_harm.mp3,simple_note,[120.18531977],100.0,100.0,simple,,,,-579.5816,18.29915,8.427087,3.4078486,0.5993634,-0.41237113,-1.3419036,-2.480883,-3.6416814,-4.8629336,-5.6312237,-5.9431095,-5.4417806,0.29809636,0.28008664,0.31078023,0.30496448,0.29507726,0.31128085,0.5143437,0.9229861,0.6922257,0.42788413,0.35661575,0.3395122,0.2418230496920072,5627.242794962037,4261.416573210483,10355.477846585787,0.0055805603
audio_degraded/sfx_317757_SFX_Explosion_12__degraded_rhythm.wav,ambient,[198.76802885],0.0,0.0,Yes,degraded_rhythm,0.0,0.0,-472.90515,120.46423,31.835888,12.324226,9.346267,8.583593,14.309406,13.194455,6.2981577,2.0523608,5.0430183,6.111717,-0.3329814,0.43067417,0.42286745,0.43635213,0.43186492,0.43708435,0.4204235,0.4082171,0.41067737,0.4230598,0.41354623,0.42077768,0.43252906,0.005373866643004647,364.92942382554446,980.8014411271644,528.7752055974122,0.041650683
